battery_id,cycle_idx,rated_capacity,ambient_temperature,capacity,soh,computed_q_max_Ah,capacity_reported_Ah,duration,q_gap_abs,q_gap_pct,dv_dt_mean,dv_dt_std,dv_dt_max,dv_dt_min,dT_dt_mean,dT_dt_std,dT_dt_max,dT_dt_min,dq_dt_mean,dq_dt_std,dq_dt_max,dq_dt_min,test_condition
B0005,1,2.0,24,1.8564874208181574,0.9282437104090787,1.8621920667643508,1.8564874208181574,3690.234,0.005704645946193354,0.30728169133940625,-0.00024860718690990696,0.0013596088346198801,0.011538799269055836,-0.0064453936489292235,0.0027545082687920096,0.005794617832884964,0.011199833154700634,-0.016845992908395946,2.1640895505383763e-16,5.7679741857093246e-15,1.4210854715202004e-14,-1.4210854715202004e-14,nasa_room_ambient
B0005,3,2.0,24,1.846327249719927,0.9231636248599635,1.8519855966221626,1.846327249719927,3672.344,0.005658346902235545,0.30646500522016723,-0.00024357820345726898,0.001408579777964439,0.0120345893004912,-0.007408464957735797,0.002709318999799717,0.005663958756090085,0.010491667154846285,-0.01621729527785687,-4.712783451470053e-16,4.9763298176577885e-15,1.4210854715202004e-14,-1.4210854715202004e-14,nasa_room_ambient
B0005,5,2.0,24,1.8353491942234077,0.9176745971117038,1.8409934843830018,1.8353491942234077,3651.641,0.005644290159594112,0.307532222062101,-0.00023688246617361753,0.0013309444167407393,0.01128424342082035,-0.006764306859696548,0.0026691134112674757,0.005606957323730654,0.010571143420457285,-0.016199141355695224,1.4575235605335388e-16,5.799725988366583e-15,1.4210854715202004e-14,-1.4210854715202004e-14,nasa_room_ambient
B0005,7,2.0,24,1.8352625275821128,0.9176312637910564,1.8408810236355304,1.8352625275821128,3631.563,0.0056184960534175765,0.3061412723780574,-0.00024016308368586713,0.001428647987956327,0.01224570386601287,-0.007603949756793349,0.002744228939057297,0.005537861308190035,0.010649640740593158,-0.016199571506780974,7.325182842887631e-17,5.904842566266403e-15,1.4210854715202004e-14,-1.4210854715202004e-14,nasa_room_ambient
B0005,9,2.0,24,1.8346455082120419,0.9173227541060209,1.8403253001570685,1.8346455082120419,3629.172,0.005679791945026658,0.309585253369296,-0.00024397989907815526,0.0014980594760902917,0.012912548090134118,-0.008324098654385076,0.0027593571634415845,0.005523262016487066,0.010877725293791052,-0.015966797392308774,1.4650365685775261e-16,5.990996522508818e-15,1.4210854715202004e-14,-1.4210854715202004e-14,nasa_room_ambient
B0005,11,2.0,24,1.8356616600675495,0.9178308300337747,1.8412298809082421,1.8356616600675495,3652.281,0.005568220840692639,0.3033359012623131,-0.00024322121213214075,0.0015331644759428572,0.013298854658026923,-0.008826216589692737,0.0027150574058510393,0.005588514802443442,0.01110723492497867,-0.015816232695735066,-1.0931426704001542e-16,5.642141288439419e-15,1.4210854715202004e-14,-1.4210854715202004e-14,nasa_room_ambient
B0005,13,2.0,24,1.8351461429226603,0.9175730714613302,1.8407807022517078,1.8351461429226603,3650.828,0.005634559329047439,0.30703600096250755,-0.00024526713744457256,0.0015859998733847717,0.013774315923944472,-0.009415140996154647,0.0027234126074415907,0.005565791313731973,0.011087378123126657,-0.016018707876998772,4.008189791467232e-16,5.628947687947285e-15,1.4210854715202004e-14,-1.4210854715202004e-14,nasa_room_ambient
B0005,15,2.0,24,1.8257567905665537,0.9128783952832769,1.8313918336601314,1.8257567905665537,3572.453,0.005635043093577652,0.30864149719684364,-0.00024518608260476785,0.0013213240175231219,0.011046812052129693,-0.0069382632964748725,0.0028517506076509505,0.005245185920792763,0.010206412535010978,-0.015749196639206042,-5.580178553089792e-16,5.2888528180035865e-15,1.4210854715202004e-14,-1.4210854715202004e-14,nasa_room_ambient
B0005,17,2.0,24,1.8247738529891333,0.9123869264945667,1.8303863051314193,1.8247738529891333,3550.594,0.005612452142286006,0.30756973709878277,-0.00025043960946434795,0.0014191940737734066,0.011980576914453131,-0.007842131734929148,0.0029661024581973125,0.005124908909628471,0.010175101857227475,-0.015821122190055492,7.47939721852737e-17,6.055079046222131e-15,1.4210854715202004e-14,-1.4210854715202004e-14,nasa_room_ambient
B0005,19,2.0,24,1.824613268496936,0.912306634248468,1.8302071262866668,1.824613268496936,3551.25,0.005593857789730761,0.3065777217732731,-0.00025385420623407964,0.001496482242862309,0.012734217377146945,-0.008652295519041467,0.00297626601853935,0.005152513915917726,0.010425615055698056,-0.015635329081712945,-1.8698493046318425e-16,5.851762035266234e-15,1.4210854715202004e-14,-1.4210854715202004e-14,nasa_room_ambient
